statement,label,city,country,correct_country,question,question_with_answer
The city of Callao is in Myanmar.,0,Callao,Myanmar,Peru,In which country is the city of Callao located?,In which country is the city of Callao located? Myanmar.
The city of Cebu City is in the Philippines.,1,Cebu City,the Philippines,the Philippines,In which country is the city of Cebu City located?,In which country is the city of Cebu City located? the Philippines.
The city of Cebu City is in China.,0,Cebu City,China,the Philippines,In which country is the city of Cebu City located?,In which country is the city of Cebu City located? China.
The city of Tashkent is in Uzbekistan.,1,Tashkent,Uzbekistan,Uzbekistan,In which country is the city of Tashkent located?,In which country is the city of Tashkent located? Uzbekistan.
The city of Tashkent is in Mexico.,0,Tashkent,Mexico,Uzbekistan,In which country is the city of Tashkent located?,In which country is the city of Tashkent located? Mexico.
The city of Maturin is in Venezuela.,1,Maturin,Venezuela,Venezuela,In which country is the city of Maturin located?,In which country is the city of Maturin located? Venezuela.
The city of Maturin is in Saudi Arabia.,0,Maturin,Saudi Arabia,Venezuela,In which country is the city of Maturin located?,In which country is the city of Maturin located? Saudi Arabia.
The city of Hanoi is in Vietnam.,1,Hanoi,Vietnam,Vietnam,In which country is the city of Hanoi located?,In which country is the city of Hanoi located? Vietnam.
The city of Hanoi is in Poland.,0,Hanoi,Poland,Vietnam,In which country is the city of Hanoi located?,In which country is the city of Hanoi located? Poland.
The city of Xuzhou is in China.,1,Xuzhou,China,China,In which country is the city of Xuzhou located?,In which country is the city of Xuzhou located? China.
The city of Xuzhou is in Mexico.,0,Xuzhou,Mexico,China,In which country is the city of Xuzhou located?,In which country is the city of Xuzhou located? Mexico.
The city of Cucuta is in Colombia.,1,Cucuta,Colombia,Colombia,In which country is the city of Cucuta located?,In which country is the city of Cucuta located? Colombia.
The city of Cucuta is in India.,0,Cucuta,India,Colombia,In which country is the city of Cucuta located?,In which country is the city of Cucuta located? India.
The city of Santo Domingo Oeste is in the Dominican Republic.,1,Santo Domingo Oeste,the Dominican Republic,the Dominican Republic,In which country is the city of Santo Domingo Oeste located?,In which country is the city of Santo Domingo Oeste located? the Dominican Republic.
The city of Santo Domingo Oeste is in Zambia.,0,Santo Domingo Oeste,Zambia,the Dominican Republic,In which country is the city of Santo Domingo Oeste located?,In which country is the city of Santo Domingo Oeste located? Zambia.
The city of Tangshan is in China.,1,Tangshan,China,China,In which country is the city of Tangshan located?,In which country is the city of Tangshan located? China.
The city of Tangshan is in India.,0,Tangshan,India,China,In which country is the city of Tangshan located?,In which country is the city of Tangshan located? India.
The city of Neijiang is in China.,1,Neijiang,China,China,In which country is the city of Neijiang located?,In which country is the city of Neijiang located? China.
The city of Neijiang is in Ghana.,0,Neijiang,Ghana,China,In which country is the city of Neijiang located?,In which country is the city of Neijiang located? Ghana.
The city of Linfen is in China.,1,Linfen,China,China,In which country is the city of Linfen located?,In which country is the city of Linfen located? China.
The city of Linfen is in India.,0,Linfen,India,China,In which country is the city of Linfen located?,In which country is the city of Linfen located? India.
The city of Yiwu is in China.,1,Yiwu,China,China,In which country is the city of Yiwu located?,In which country is the city of Yiwu located? China.
The city of Yiwu is in India.,0,Yiwu,India,China,In which country is the city of Yiwu located?,In which country is the city of Yiwu located? India.
The city of Qiqihar is in China.,1,Qiqihar,China,China,In which country is the city of Qiqihar located?,In which country is the city of Qiqihar located? China.
The city of Qiqihar is in India.,0,Qiqihar,India,China,In which country is the city of Qiqihar located?,In which country is the city of Qiqihar located? India.
The city of Baotou is in China.,1,Baotou,China,China,In which country is the city of Baotou located?,In which country is the city of Baotou located? China.
The city of Baotou is in Japan.,0,Baotou,Japan,China,In which country is the city of Baotou located?,In which country is the city of Baotou located? Japan.
The city of Aparecida de Goiania is in Brazil.,1,Aparecida de Goiania,Brazil,Brazil,In which country is the city of Aparecida de Goiania located?,In which country is the city of Aparecida de Goiania located? Brazil.
The city of Aparecida de Goiania is in China.,0,Aparecida de Goiania,China,Brazil,In which country is the city of Aparecida de Goiania located?,In which country is the city of Aparecida de Goiania located? China.
The city of Kinshasa is in the Democratic Republic of the Congo.,1,Kinshasa,the Democratic Republic of the Congo,the Democratic Republic of the Congo,In which country is the city of Kinshasa located?,In which country is the city of Kinshasa located? the Democratic Republic of the Congo.
The city of Kinshasa is in Brazil.,0,Kinshasa,Brazil,the Democratic Republic of the Congo,In which country is the city of Kinshasa located?,In which country is the city of Kinshasa located? Brazil.
The city of Ciudad Nezahualcoyotl is in Mexico.,1,Ciudad Nezahualcoyotl,Mexico,Mexico,In which country is the city of Ciudad Nezahualcoyotl located?,In which country is the city of Ciudad Nezahualcoyotl located? Mexico.
The city of Ciudad Nezahualcoyotl is in Senegal.,0,Ciudad Nezahualcoyotl,Senegal,Mexico,In which country is the city of Ciudad Nezahualcoyotl located?,In which country is the city of Ciudad Nezahualcoyotl located? Senegal.
The city of Mexicali is in Mexico.,1,Mexicali,Mexico,Mexico,In which country is the city of Mexicali located?,In which country is the city of Mexicali located? Mexico.
The city of Mexicali is in South Africa.,0,Mexicali,South Africa,Mexico,In which country is the city of Mexicali located?,In which country is the city of Mexicali located? South Africa.
The city of Ciudad Juarez is in Mexico.,1,Ciudad Juarez,Mexico,Mexico,In which country is the city of Ciudad Juarez located?,In which country is the city of Ciudad Juarez located? Mexico.
The city of Ciudad Juarez is in India.,0,Ciudad Juarez,India,Mexico,In which country is the city of Ciudad Juarez located?,In which country is the city of Ciudad Juarez located? India.
The city of Kampung Baru Subang is in Malaysia.,1,Kampung Baru Subang,Malaysia,Malaysia,In which country is the city of Kampung Baru Subang located?,In which country is the city of Kampung Baru Subang located? Malaysia.
The city of Kampung Baru Subang is in the Philippines.,0,Kampung Baru Subang,the Philippines,Malaysia,In which country is the city of Kampung Baru Subang located?,In which country is the city of Kampung Baru Subang located? the Philippines.
The city of Subang Jaya is in Malaysia.,1,Subang Jaya,Malaysia,Malaysia,In which country is the city of Subang Jaya located?,In which country is the city of Subang Jaya located? Malaysia.
The city of Subang Jaya is in Germany.,0,Subang Jaya,Germany,Malaysia,In which country is the city of Subang Jaya located?,In which country is the city of Subang Jaya located? Germany.
The city of Maputo is in Mozambique.,1,Maputo,Mozambique,Mozambique,In which country is the city of Maputo located?,In which country is the city of Maputo located? Mozambique.
The city of Maputo is in Japan.,0,Maputo,Japan,Mozambique,In which country is the city of Maputo located?,In which country is the city of Maputo located? Japan.
The city of Kumamoto is in Japan.,1,Kumamoto,Japan,Japan,In which country is the city of Kumamoto located?,In which country is the city of Kumamoto located? Japan.
The city of Kumamoto is in China.,0,Kumamoto,China,Japan,In which country is the city of Kumamoto located?,In which country is the city of Kumamoto located? China.
The city of Daegu is in South Korea.,1,Daegu,South Korea,South Korea,In which country is the city of Daegu located?,In which country is the city of Daegu located? South Korea.
The city of Daegu is in the United States.,0,Daegu,the United States,South Korea,In which country is the city of Daegu located?,In which country is the city of Daegu located? the United States.
The city of Vilnius is in Lithuania.,1,Vilnius,Lithuania,Lithuania,In which country is the city of Vilnius located?,In which country is the city of Vilnius located? Lithuania.
The city of Vilnius is in China.,0,Vilnius,China,Lithuania,In which country is the city of Vilnius located?,In which country is the city of Vilnius located? China.
The city of Ranchi is in India.,1,Ranchi,India,India,In which country is the city of Ranchi located?,In which country is the city of Ranchi located? India.
The city of Ranchi is in Venezuela.,0,Ranchi,Venezuela,India,In which country is the city of Ranchi located?,In which country is the city of Ranchi located? Venezuela.
The city of Jalandhar is in India.,1,Jalandhar,India,India,In which country is the city of Jalandhar located?,In which country is the city of Jalandhar located? India.
